Gene Symbol,pLI,Residual.Variation.Intolerance.Score,Residual.Variation.Intolerance.Score.Percentile,pHI,pTS
SLC2A13,0.956100908800451,-0.626318433834255,17.032318943147,0.84217,0.57786
SLC2A14,0.989967414117294,-0.534490514589259,20.7006369426752,0.1637,0.3064
SLC2A2,7.53167438901512e-05,-0.224023033235007,37.4321774003303,0.24513,0.13783
SLC2A3,0.519822945853932,0.619191318601209,83.3628214201463,0.35364,0.45859
SLC2A4,0.135386792584163,-0.178111357009241,40.4458598726115,0.30634,0.69494
SLC2A5,5.67732629021242e-05,-0.198338176176581,39.171974522293,0.21938,0.23723
SLC2A6,0.000366664150450035,-0.220384296718886,37.6032083038452,0.20252,0.62229
SLC2A7,2.99498303352468e-17,1.69209463857873,96.4201462609106,0.04446,0.03485
SLC2A9,1.40146196215314e-10,1.22539945678662,93.2472281198396,0.33778,0.09598
SLC30A1,0.913544366960314,-0.383807564318784,27.4180231186601,0.94413,0.84442
SLC30A10,0.921869997532192,-0.404032746402437,26.5333805142722,0.49481,0.1089
SLC30A2,0.708283236156756,0.106667881961532,61.7303609341826,0.10458,0.24295
SLC30A3,0.64608387237045,-0.802693349929605,12.2375560273649,0.17076,0.51001
SLC30A4,0.950659466932893,-0.516085731950477,21.2019344184949,0.50594,0.31959
SLC30A5,0.230512231685005,-0.0881078933986883,47.0629865534324,0.76638,0.8298
SLC30A6,0.0126596121889265,-1.00112047810196,8.32153809860816,0.61868,0.22795
SLC30A7,0.0289920473573277,-0.692458598726961,14.968152866242,0.33515,0.43142
SLC30A8,1.79754250091306e-09,0.0864408673100608,60.4741684359519,0.11194,0.02581
SLC30A9,0.00142348509355749,0.531004227731177,80.8799245104978,0.70049,0.70778
SLC31A1,0.519265077977303,0.0809838471560697,59.760556735079,0.47058,0.78186
SLC31A2,2.78117305043228e-05,-0.0531135451807282,49.3866477942911,0.09877,0.09818
SLC33A1,0.100521117903096,0.19667139068956,67.1915546119368,0.68905,0.70599
SLC34A1,1.07656497406863e-15,-0.795417162742662,12.5324368954942,0.04111,0.1686
SLC34A2,1.02438347272582e-05,0.159856956979681,64.9150743099788,0.35428,0.10849
SLC34A3,2.02896416643879e-11,0.409650695830389,76.5392781316348,0.05081,0.08069
SLC35A1,0.208304140627799,0.12689525967705,63.0042462845011,0.81016,0.72611
SLC35A3,0.0693153753308512,-0.0292476111805028,51.4036329322954,0.44088,0.53445
SLC35A4,0.000744268610339096,0.373041937881671,75.2948808681293,0.07257,0.55076
SLC35A5,0.00141225113499444,0.50713940076479,80.1014390186365,0.37288,0.33017
SLC35B1,0.0132862685940911,-0.159704656288596,41.9084689785327,0.29663,0.75035
SLC35B2,0.700038249852824,-0.822919684762714,11.7657466383581,0.16081,0.46131
SLC35B3,0.00056646400612064,-0.203796825746796,38.8181174805379,0.47937,0.08429
SLC35B4,4.5384262452846e-06,-0.249709318589582,35.7454588346308,0.481,0.3635
SLC35C1,0.147014851687706,-0.00538197214482933,53.5090823307384,0.23012,0.69888
SLC35C2,0.0471490104786645,-0.624497208291384,17.1620665251239,0.21438,0.49009
SLC35D1,0.001854200528779,-0.271755480784169,34.3182354328851,0.53713,0.32308
SLC35D2,9.13442164129427e-05,-0.271755480784169,34.3182354328851,0.33965,0.12987
SLC35D3,0.149614410820931,0.395088461612745,76.1500353857042,0.08661,0.09366
SLC35E1,0.0968428302685581,-0.626318433834255,17.032318943147,0.36387,0.87764
SLC35E3,0.00040677888074501,-0.227663163036465,37.1137060627507,0.28007,0.18033
SLC35E4,0.032252529013455,-0.179930906964935,40.3573956121727,0.19761,0.46541
SLC35F1,0.388506270158181,0.0607565283182389,58.5279547062987,0.74179,0.54448
SLC35F2,0.00952167661780261,0.216898990231651,68.1292757725879,0.23012,0.13285
SLC35F3,0.894523108035515,-0.624497208291384,17.1620665251239,0.42639,0.69784
SLC35F5,0.00121571774591936,0.0625756339661505,58.7402689313517,0.55866,0.44745
SLC35G1,0.917135938028142,-0.427900189387204,25.1474404340646,0.34912,0.11697
SLC35G2,0.0663953363472009,-0.224023033235007,37.4321774003303,0.47767,0.47414
SLC36A1,0.0234724316059047,-0.620857637341574,17.3566878980892,0.37216,0.53278
SLC36A2,1.41130186369675e-06,0.0478069320212329,57.5194621372965,0.04916,0.11345
SLC36A3,1.18609331200363e-06,0.290313621425766,71.5675866949752,0.11453,0.17494
SLC36A4,2.69891717644805e-09,0.132352165183905,63.4878509082331,0.41114,0.12038
SLC37A1,0.028612841735564,-0.707227564110625,14.7145553196509,0.44938,0.47168
SLC37A2,5.00926399593573e-10,0.0459874797267568,57.4781788157584,0.22377,0.43341
SLC37A3,7.1633846502858e-08,-0.35448051846324,29.4291106393017,0.29116,0.12623
SLC38A1,0.975432122735683,-0.380166007171021,27.8839348903043,0.94368,0.662
SLC38A10,4.09242180982345e-08,1.13164289023934,92.2387355508375,0.4393,0.51094
SLC38A11,1.9255130084062e-06,0.018483464796251,55.449398443029,0.14051,0.07235
SLC38A2,0.969356999809796,0.130533008070585,63.3581033262562,0.99703,0.54408
SLC38A4,0.942982185779924,0.308721233270463,72.5996697334277,0.67931,0.55123
SLC38A6,6.10703569830496e-16,-0.4922180690048,22.3578674215617,0.29201,0.18305
SLC38A7,0.0314056926915209,-0.466531443838218,23.5138004246284,0.40889,0.53351
SLC38A9,0.755167399338962,0.130533008070585,63.3581033262562,0.5132,0.37307
SLC39A1,0.167076829803909,-0.604271810115722,17.7459306440198,0.18715,0.83129
SLC39A10,0.997850639903884,-0.156065313821044,42.1620665251238,0.97021,0.67796
SLC39A11,7.77832608077154e-05,0.643056625449087,84.0528426515688,0.20613,0.06639
SLC39A12,0.000292985871332697,0.714657953469185,85.8162302429818,0.25121,0.12555
SLC39A13,0.0118520311660311,0.975585910477025,90.3750884642604,0.33621,0.90808
SLC39A14,0.314629295810412,-0.424258537696004,25.5602736494456,0.58884,0.67033
SLC39A2,0.000671706229021376,1.81712919520873,96.968624675631,0.05131,0.12673
SLC39A3,0.0608464544153053,-0.0237892438281915,52.0936541637179,0.20713,0.45354
SLC39A4,0.00573736084471825,1.20882990464545,93.0526067468743,0.1014,0.32421
SLC39A5,1.20741073816294e-07,-0.372889895863846,28.2024062278839,0.07953,0.22293
SLC39A6,0.000761849565836676,-0.799052815950315,12.4557678697806,0.59607,0.68985
SLC39A8,0.891567478844834,0.172806449558955,65.7584335928285,0.80101,0.83161
SLC39A9,0.529198523354405,0.193034295692284,66.8200047180939,0.86643,0.83446
SLC3A1,7.54764121472888e-16,-1.5892113508212,3.0962491153574,0.02463,0.0336
SLC3A2,0.923234161379885,-0.31038805386334,32.1479122434536,0.30397,0.52458
SLC40A1,0.977595134539298,0.328949043699385,73.4135409294645,0.97341,0.45663
SLC41A1,0.705784064695467,-0.979072681514534,8.7520641660769,0.87279,0.93852
SLC41A2,0.913051821488741,-0.161524708908173,41.6430761972163,0.94815,0.49563
SLC41A3,0.000139670421791452,0.290313621425766,71.5675866949752,0.309,0.18757
SLC43A1,7.85327016141061e-05,-0.0642426132270674,48.8440669969332,0.20604,0.50387
SLC43A2,0.0618427043068134,-0.975433863288426,8.85232366124086,0.54047,0.69059
SLC43A3,0.000317449115823233,-0.510624371719965,21.6501533380514,0.2286,0.56767
SLC44A1,0.999253571367297,-0.534490514589259,20.7006369426752,0.9792,0.80839
SLC44A2,0.0414645881648824,-0.929520513735372,9.68388770936542,0.34063,0.63686
SLC44A3,1.8199523853244e-24,-0.0201505515802809,52.2528898325077,0.22189,0.2031
SLC44A5,0.0342286898388776,-0.290161348016747,33.3392309506959,0.46485,0.46516
SLC45A1,0.0451892558909179,-2.03571195203927,1.6690257136117,0.37608,0.49493
SLC45A2,7.85681140165749e-05,-0.975433863288426,8.85232366124086,0.16836,0.05413
SLC45A3,0.0368495348530263,-0.532670911275394,20.7832035857514,0.52842,0.76869
SLC45A4,0.00458960961270734,-1.29531386675477,4.98938428874735,0.3239,0.1102
SLC46A2,0.000292933739775045,0.53282312171769,80.9624911535739,0.13075,0.08045
SLC46A3,1.30472037835528e-07,-0.00174323818936806,53.8511441377683,0.30625,0.17714
SLC47A1,1.21582234978014e-09,-0.220384296718886,37.6032083038452,0.14316,0.43527
SLC47A2,9.01734392930179e-14,-0.843147537795032,11.2762443972635,0.06356,0.08058
SLC4A1,0.909484294882695,-0.789972688776366,12.6150035385704,0.23646,0.72752
SLC4A10,0.00263554372615494,-0.843147537795032,11.2762443972635,0.73237,0.967
SLC4A11,1.36725840636298e-08,-2.33913125245288,1.17362585515452,0.32198,0.31437
SLC4A1AP,7.73999085415032e-07,-0.442665927264327,24.5340882283557,0.39169,0.38724
SLC4A2,0.999960115734587,-1.76744335411492,2.31776362349611,0.89276,0.99562
SLC4A3,0.218420219942613,-1.18144924110348,5.91531021467327,0.55813,0.88404
SLC4A4,0.999995794728427,-0.372889895863846,28.2024062278839,0.9086,0.87548
SLC4A5,1.37460263086747e-07,-1.54510635017845,3.30856334041047,0.30795,0.73802
SLC4A7,0.69770797268161,-0.969986759717938,8.9584807737674,0.97998,0.61647
SLC4A8,0.999867374132928,-0.799052815950315,12.4557678697806,0.7968,0.93494
SLC4A9,5.6907011258673e-18,-0.437212558103293,24.6756310450578,0.04188,0.29159
SLC50A1,0.130229792296048,-0.163345026923734,41.2479358339231,0.17821,0.68698
SLC52A1,2.74247658877072e-05,0.310540264177481,72.6586459070536,0.06434,0.07531
SLC52A2,0.0119600051418378,-0.933156984965071,9.54824251002595,0.13099,0.68382
SLC52A3,0.00162509373291456,0.0900794916928046,60.6451993394669,0.20015,0.10773
SLC5A1,0.00803119583011728,0.332586471859416,73.6140599197924,0.46214,0.30317
SLC5A10,3.65971963018288e-12,-0.817464787543641,11.9780608634112,0.112,0.27536
SLC5A11,1.49641187474707e-06,0.0716725803240924,59.1589997640953,0.17168,0.19201
SLC5A12,2.14726778576519e-05,-0.0678812493446645,48.690728945506,0.22372,0.11875
SLC5A2,8.34847516316556e-11,-0.861560326445857,10.8928992686954,0.06931,0.30736
SLC5A3,0.849464749953749,-0.666770504337798,15.864590705355,0.88388,0.50936
SLC5A4,2.60144685908226e-13,0.736704836476851,86.3293229535268,0.06358,0.0602
SLC5A5,0.740011195140398,-0.887242605059062,10.4328851144138,0.10636,0.23649
SLC5A6,0.571968337581082,-0.0881078933986883,47.0629865534324,0.39441,0.85068
SLC5A7,0.101652706275807,0.240763791958702,69.3677754187308,0.28744,0.27048
SLC5A8,2.85808956199266e-11,0.402364592196213,76.450813871196,0.15123,0.04709
SLC5A9,6.41959687057975e-13,1.14085681385469,92.3684831328143,0.07586,0.07035
SLC6A1,0.999301879165817,-0.358119786745166,29.1637178579854,0.90627,0.9868
SLC6A11,0.364943330068891,-0.442665927264327,24.5340882283557,0.37886,0.76174
SLC6A12,7.90050068276314e-07,-0.396754487842167,26.9757018164661,0.2279,0.4616
SLC6A13,1.85726644531532e-08,-0.527216947649069,20.8893606982779,0.13756,0.12452
SLC6A15,0.00226259561522053,0.0680334847791652,59.035149799481,0.44077,0.58879
SLC6A16,4.47639511693954e-11,-0.595174813736057,18.2118424156641,0.11336,0.21584
SLC6A17,0.962734835648401,-0.574945567303498,18.9018636470866,0.46464,0.79907
SLC6A18,1.67091561448187e-22,1.010397292448,90.8115121490918,0.02208,0.05565
SLC6A19,8.52430000848369e-18,-1.92362963016908,1.91672564284029,0.05659,0.18367
SLC6A2,0.277118300003759,-0.444485050047955,24.4633168200047,0.29986,0.37226
SLC6A20,6.44898031809492e-10,-0.527216947649069,20.8893606982779,0.10372,0.06775
SLC6A3,0.99703690247797,-1.52848652133812,3.38523236612409,0.7169,0.54583
SLC6A4,0.85488009451934,-0.600630256114482,18.0644019815994,0.46624,0.58242
SLC6A5,1.84554624033866e-12,0.784444605406061,87.2611464968153,0.24021,0.12773
SLC6A6,0.98227564953919,-0.291981272032411,33.2035857513564,0.96122,0.98641
SLC6A7,7.14638706508392e-06,-1.28593337343633,5.08374616654871,0.1352,0.82092
SLC6A9,0.0442530405880805,-0.709045403101061,14.6732719981128,0.36554,0.93279
SLC7A1,0.574964447374533,-1.2197855043944,5.60273649445624,0.91397,0.4453
SLC7A10,0.00157745429809636,-0.574945567303498,18.9018636470866,0.19741,0.55633
SLC7A11,0.000970108502996297,0.2205364837727,68.3828733191791,0.76499,0.25173
SLC7A13,4.70688995096023e-15,1.93284530812845,97.481717386176,0.02391,0.00723
SLC7A14,0.332594381838482,-1.08204451752413,7.24227412125501,0.48552,0.38163
SLC7A2,1.1726426517571e-08,0.409650695830389,76.5392781316348,0.3269,0.09487
SLC7A4,0.000100465628178791,0.40782820567314,76.5097900448219,0.08896,0.16873
SLC7A6,0.0224285001107606,0.0203027730121405,55.6086341118188,0.34125,0.84177
SLC7A6OS,0.807327025070433,0.749657563952377,86.5652276480302,0.30227,0.56714
SLC7A7,0.00209119496896398,-0.710864321080378,14.5730125029488,0.1456,0.25079
SLC7A8,0.000166180404409209,-0.0660618817075632,48.7791932059448,0.40362,0.64037
SLC7A9,0.246082407596558,-0.529034136137165,20.859872611465,0.1663,0.33604
SLC8A1,0.98820862479259,-1.150005948,6.28686010851616,0.97453,0.48428
SLC8A3,0.621079527402869,-1.05818237384093,7.55484784147205,0.4699,0.39887
SLC9A1,0.952228129998873,-1.61850676447675,2.92521821184242,0.82389,0.86417
SLC9A2,0.481161337483386,-0.37834611649652,28.0136824722812,0.3628,0.43263
SLC9A3,0.988153998366091,-1.7858926325704,2.25878744987025,0.77798,0.4485
SLC9A3R1,6.3597388529883e-05,0.30690266778416,72.381457891012,0.30109,0.65512
SLC9A3R2,0.0227037623698413,0.442818084542073,77.8544468034914,0.26634,0.77188
SLC9A4,1.58073058570014e-06,0.850585932358231,88.4937485255957,0.12796,0.07592
SLC9A5,0.0362519257358633,-0.865195026883364,10.7985373908941,0.30155,0.91066
SLC9A8,2.81662458191787e-05,-0.666770504337798,15.864590705355,0.35952,0.36407
SLC9A9,2.47740520992669e-08,-0.861560326445857,10.8928992686954,0.56578,0.30486
SLC9B2,0.067056661977643,0.576916344242545,82.2540693559802,0.31131,0.42842
SLC9C1,7.81673916364206e-11,1.63143061639568,96.0662892191555,0.19094,0.28073
SLC9C2,1.18824028993333e-06,0.380318343470823,75.6310450577967,0.25022,0.45981
SLCO1A2,5.58441209241734e-15,-0.330615369612814,30.8209483368719,0.21978,0.20472
SLCO1B1,3.45238778980654e-16,1.02514245859734,91.0710073130455,0.06879,0.03383
SLCO1B3,9.24108066211779e-17,0.672386702761987,84.7369662656287,0.1294,0.06915
SLCO1B7,4.9248493708995e-17,1.71414586598342,96.4673271998113,0.06932,0.02222
SLCO1C1,7.6167599235895e-06,7.61e-05,53.9808917197452,0.26098,0.15945
SLCO2A1,2.25372891314708e-09,0.270087468346403,70.6947393253126,0.32463,0.26823
SLCO2B1,0.00335356336964323,-0.483123185762551,22.7824958716678,0.35278,0.4351
SLCO3A1,0.732171682691697,-0.576764155275443,18.7839112998349,0.71363,0.56635
SLCO4A1,5.34100932440508e-07,-1.32097502664172,4.77707006369427,0.46344,0.72962
SLCO4C1,1.37231076325155e-06,-0.31038805386334,32.1479122434536,0.12769,0.107
SLCO5A1,1.52377907757975e-05,0.516238256685848,80.3373437131399,0.34004,0.3727
SLCO6A1,2.70904557113252e-06,1.31359492310964,94.0493040811512,0.09208,0.0255
SLFN11,7.42072878105611e-16,0.0937186827118645,60.7100731304553,0.08711,0.03994
SLFN12,5.03596136268757e-10,1.33200231817963,94.208539749941,0.03578,0.02037
SLFN12L,2.34689349034419e-05,2.77103047902483,99.0092002830856,0.03826,0.08819
SLFN5,1.21564626085827e-09,0.628293288611892,83.5692380278368,0.13604,0.1242
SLFNL1,0.000108969289298797,0.98104696429836,90.4576551073366,0.08477,0.14556
SLIRP,0.000361057844318624,0.0368911799368499,56.6407171502713,0.13267,0.08643
SLIT1,0.999930815097543,-2.02851154010037,1.70441141778721,0.90098,0.85631
SLIT2,0.999999067396252,-2.18471264891523,1.39773531493277,0.99692,0.78078
SLIT3,0.991788383605727,-2.19607509659025,1.37414484548243,0.98935,0.69906
SLITRK1,0.988430445876677,-0.84678771422797,11.0580325548478,0.96261,0.32459
SLITRK3,0.603043296412279,-0.35448051846324,29.4291106393017,0.91586,0.50099
SLITRK5,0.812088308384531,-1.63693278466498,2.82495871667846,0.9519,0.20321
SLITRK6,8.60812958532084e-06,-0.775187014910911,13.0514272234017,0.56169,0.03145
SLK,0.428398338221419,-0.374708069183509,28.1552252889832,0.92244,0.83874
SLMAP,0.999325964654365,-1.15545782760021,6.16890776126445,0.97983,0.64708
