No,gene,Heart_assoc_HPOs,Heart_HP_Count,pvalue_Heart_more,pvalue_Heart_less
479,GPC3,"HP:0001627, HP:0001629, HP:0001631, HP:0001669, HP:0001671, HP:0001707, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,0.034471737
480,GPC4,"HP:0001627, HP:0001629, HP:0001631, HP:0001669, HP:0001671, HP:0001707, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,
481,GPC6,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
482,GPR101,"HP:0001627, HP:0001713",2,,
483,GPX4,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,5.32947E-06,
484,GRM7,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
485,GSN,HP:0001627,1,0.002922495,
486,GTF2E2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
487,GTF2H5,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.000494093,
488,GTF2I,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001656, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,0.004009237
489,GTF2IRD1,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001798, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,0.026587771
490,GTF2IRD2,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001723, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
491,GTPBP3,"HP:0001627, HP:0001707, HP:0001711, HP:0001713",4,0.013302986,
492,GUSB,"HP:0001627, HP:0001654",2,0.039679063,
493,GYG1,"HP:0001627, HP:0001671, HP:0001713, HP:0010438",4,0.000119338,
494,GYS1,"HP:0001627, HP:0001711, HP:0001713, HP:0005120, HP:0025579",5,,
495,H19-ICR,HP:0001627,1,,
496,HAAO,"HP:0001627, HP:0001631, HP:0001671, HP:0001961, HP:0004383, HP:0005120, HP:0011994, HP:0045017",8,,
497,HACD1,"HP:0001627, HP:0001707, HP:0001713",3,,
498,HADH,HP:0001627,1,0.011493605,
499,HADHA,"HP:0001627, HP:0001711, HP:0001713",3,0.000226888,
500,HADHB,"HP:0001627, HP:0001711, HP:0001713",3,,
501,HAMP,HP:0001627,1,,
502,HAND2,HP:0001627,1,9.87173E-05,
503,HBA1,HP:0001627,1,4.44453E-07,
504,HBA2,HP:0001627,1,2.92669E-08,
505,HBB,HP:0001627,1,3.41716E-10,
506,HCCS,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001702, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011994",11,0.000125275,
507,HCN4,"HP:0001627, HP:0001654, HP:0001682, HP:0001711, HP:0001713, HP:0006705, HP:0030681, HP:0031192",8,0.042084958,
508,HDAC4,"HP:0001627, HP:0001711, HP:0001713, HP:0011103",4,,0.012136602
509,HDAC8,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
510,HES7,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
511,HEXB,HP:0001627,1,,
512,HEY2,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,0.002229063,
513,HFE,HP:0001627,1,,
514,HGD,"HP:0001627, HP:0001646, HP:0001654, HP:0001667, HP:0001703, HP:0006705",6,,
515,HGSNAT,HP:0001627,1,,
516,HIBCH,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
517,HIRA,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011672, HP:0011994",18,,
518,HJV,HP:0001627,1,,
519,HLA-B,"HP:0001627, HP:0001646, HP:0001654, HP:0001710, HP:0001719, HP:0011545, HP:0011563, HP:0011658, HP:0011723",9,0.016826981,
520,HLA-DPA1,HP:0001627,1,0.047458771,
521,HLA-DPB1,HP:0001627,1,,
522,HLA-DRB1,"HP:0001627, HP:0001710, HP:0001719, HP:0011545, HP:0011563, HP:0011658, HP:0011723",7,,
523,HMGCL,HP:0001627,1,,
524,HNRNPA1,HP:0001627,1,3.95158E-05,
525,HNRNPA2B1,HP:0001627,1,2.61545E-05,
526,HNRNPH2,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001729, HP:0005120, HP:0006705, HP:0011994",8,2.79049E-05,
527,HNRNPK,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",11,7.42135E-07,
528,HNRNPU,"HP:0001627, HP:0001671",2,0.002036854,
529,HOXA13,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
530,HOXD13,"HP:0001627, HP:0001671",2,,
531,HPS1,HP:0001627,1,,
532,HRAS,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0001741, HP:0001749, HP:0005120, HP:0006705, HP:0010438, HP:0011994",12,0.025586968,
533,HSD11B2,"HP:0001627, HP:0001711, HP:0001713",3,,
534,HSD17B10,HP:0001627,1,0.00025172,
535,HSPA9,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
536,HSPG2,"HP:0001627, HP:0001636, HP:0001654, HP:0001671, HP:0001710, HP:0011545, HP:0011563",7,0.01271146,
537,HYDIN,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
538,HYLS1,"HP:0001627, HP:0001629, HP:0001651, HP:0001671, HP:0001674, HP:0001696, HP:0001713, HP:0006695, HP:0010438, HP:0011534",10,,
539,HYMAI,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
540,IDH1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001684, HP:0001713, HP:0005120, HP:0010438, HP:0011681, HP:0011994",10,,
541,IDH2,HP:0001627,1,0.007845464,
542,IDS,"HP:0001627, HP:0001637, HP:0001641, HP:0001654, HP:0001675, HP:0001702, HP:0006705",7,,
543,IDUA,"HP:0001627, HP:0001654, HP:0001706",3,,
544,IFIH1,"HP:0001627, HP:0001646, HP:0001654, HP:0001711, HP:0001713, HP:0001778, HP:0006705, HP:0011103",8,,
545,IFNG,HP:0001627,1,,
546,IFNGR1,HP:0001627,1,,
547,IFT122,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
548,IFT172,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,0.032182814
549,IFT81,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
550,IGBP1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
551,IGF1R,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,,
552,IGF2,HP:0001627,1,,
553,IKZF1,HP:0001627,1,,
554,IL10,HP:0001627,1,,
555,IL12A,HP:0001627,1,,
556,IL12A-AS1,HP:0001627,1,,
557,IL12B,"HP:0001627, HP:0001646, HP:0001654",3,,
558,IL17F,HP:0001627,1,,
559,IL17RA,HP:0001627,1,,
560,IL17RC,HP:0001627,1,,
561,IL23R,HP:0001627,1,,
562,IL6,HP:0001627,1,,
563,INPP5E,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,0.001966876,
564,INS,HP:0001627,1,,0.005422129
565,INSR,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,0.002811465
566,INTS1,HP:0001627,1,,
567,INTU,"HP:0001627, HP:0001636, HP:0001671, HP:0001674, HP:0001710, HP:0006695, HP:0011545, HP:0011563",8,,0.024160027
568,INVS,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,0.001843087
569,IPO8,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001655, HP:0001671, HP:0001707, HP:0001710, HP:0001713, HP:0001719, HP:0001759, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011642, HP:0011723, HP:0011994, HP:0031298",20,,
570,IRAK1,HP:0001627,1,0.035157971,
571,IRF4,HP:0001627,1,,
572,IRF6,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
573,IRX5,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,0.009067069,
574,ITGA7,"HP:0001627, HP:0001707, HP:0001713",3,0.002404337,
575,ITK,HP:0001627,1,,
576,ITPA,HP:0001627,1,,
577,JAG1,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,
578,JAG2,HP:0001627,1,,
579,JMJD1C,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011674, HP:0011994",18,,0.003214113
580,JPH2,"HP:0001627, HP:0001654, HP:0001702, HP:0001711, HP:0001713, HP:0006705, HP:0010316",7,0.00147345,
581,JUP,"HP:0001627, HP:0030681, HP:0031193",3,,
582,KANSL1,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",11,,0.016654388
583,KAT5,"HP:0001627, HP:0001629, HP:0001641, HP:0001654, HP:0001671, HP:0001713, HP:0005164, HP:0010438",8,,
584,KAT6A,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
585,KAT6B,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",9,,
586,KAT8,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
587,KATNB1,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
588,KATNIP,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
589,KBTBD13,HP:0001627,1,0.002217946,
590,KCNA1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
591,KCNAB2,"HP:0001627, HP:0001636, HP:0001654, HP:0001671, HP:0001710, HP:0011545, HP:0011563",7,,
592,KCNE5,"HP:0001627, HP:0001646, HP:0001654",3,,
593,KCNH1,HP:0001627,1,,
594,KCNJ11,HP:0001627,1,,
595,KCNJ2,HP:0001627,1,0.013839156,
596,KCNJ5,"HP:0001627, HP:0001711, HP:0001713",3,,
597,KCNJ8,"HP:0001627, HP:0001654",2,0.003349453,
598,KCNQ1,HP:0001627,1,,
599,KCNQ1OT1,HP:0001627,1,,
600,KDM1A,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
601,KDM3B,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,0.021847967
602,KDM5B,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
603,KDM6A,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",9,,0.003135083
604,KDR,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
605,KIAA0586,"HP:0001627, HP:0001631, HP:0001651, HP:0001671, HP:0001696, HP:0005120, HP:0011534, HP:0011994",8,,
606,KIAA0753,HP:0001627,1,,
607,KIAA1109,HP:0001627,1,,
608,KIF11,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
609,KIF15,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
610,KIF20A,"HP:0001627, HP:0005120, HP:0025579, HP:0025580",4,0.001157155,
611,KIF3B,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
612,KIF7,"HP:0001627, HP:0001641, HP:0001654, HP:0001671, HP:0005148",5,,
613,KLF1,HP:0001627,1,,
614,KLHL41,HP:0001627,1,,
615,KLRC4,HP:0001627,1,,
616,KMT2C,HP:0001627,1,,0.001138532
617,KMT2D,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
618,KRAS,"HP:0001627, HP:0001629, HP:0001631, HP:0001641, HP:0001643, HP:0001654, HP:0001655, HP:0001671, HP:0001702, HP:0001713, HP:0001717, HP:0005120, HP:0006705, HP:0010438, HP:0011994, HP:0100571",16,,
619,KYNU,"HP:0001627, HP:0001961, HP:0004383, HP:0045017",4,,
620,LACC1,HP:0001627,1,,
621,LAMA2,HP:0001627,1,0.000925646,
622,LAMA3,HP:0001627,1,,
623,LAMA4,HP:0001627,1,0.004483249,
624,LAMB2,"HP:0001627, HP:0001707, HP:0001713",3,0.007455832,
625,LAMB3,HP:0001627,1,,
626,LAMC2,HP:0001627,1,,
627,LAMP2,HP:0001627,1,,
628,LARP7,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,0.041336999,
629,LARS2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
630,LBR,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
631,LDB3,"HP:0001627, HP:0001711, HP:0001713, HP:0006685, HP:0030681, HP:0031192",6,2.42951E-07,
632,LDLR,"HP:0001627, HP:0001713",2,,5.03578E-05
633,LDLRAP1,"HP:0001627, HP:0001713",2,0.002213084,
634,LEMD2,"HP:0001627, HP:0001671, HP:0001713, HP:0010438",4,,
635,LEMD3,HP:0001627,1,,
636,LETM1,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,0.030396756,
637,LIAS,HP:0001627,1,,
638,LIMK1,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001664, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
639,LIMS2,HP:0001627,1,0.000334201,
640,LIPT1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
641,LMBR1,HP:0001627,1,,
642,LMBRD1,HP:0001627,1,,
643,LMNA,"HP:0001627, HP:0001631, HP:0001646, HP:0001651, HP:0001654, HP:0001669, HP:0001671, HP:0001693, HP:0001711, HP:0001713, HP:0001744, HP:0005120, HP:0006705, HP:0011545, HP:0011563, HP:0011994",16,,
644,LMNB1,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
645,LMOD1,HP:0001627,1,,
646,LONP1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",9,,
647,LOX,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,0.002335826,
648,LRP12,HP:0001627,1,,
649,LRP2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
650,LRP5,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
651,LRPPRC,HP:0001627,1,,
652,LRRC56,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
653,LTBP1,"HP:0001627, HP:0001713",2,0.03288144,
654,LTBP2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.032157303,
655,LTBP3,"HP:0001627, HP:0001654, HP:0001800, HP:0006705",4,,
656,LTBP4,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,0.017285093,
657,LUZP1,"HP:0001627, HP:0001636, HP:0001654, HP:0001671, HP:0001710, HP:0011545, HP:0011563",7,,
658,LYST,HP:0001627,1,,
659,LZTFL1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
660,LZTR1,"HP:0001627, HP:0001629, HP:0001631, HP:0001641, HP:0001654, HP:0001671, HP:0001694, HP:0001711, HP:0001713, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0011994",14,0.031474505,
661,MAD2L2,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,0.01881396,
662,MAF,HP:0001627,1,,
663,MAGEL2,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
664,MAP1B,"HP:0001627, HP:0001654",2,0.013788767,
665,MAP2K1,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,,
666,MAP2K2,"HP:0001627, HP:0001631, HP:0001646, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,0.007931635,
667,MAP3K20,"HP:0001627, HP:0001707, HP:0001713",3,,
668,MAP3K7,"HP:0001627, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001671, HP:0001792, HP:0005120, HP:0006705, HP:0011994",11,,0.01321273
669,MAPK1,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0001793, HP:0005120, HP:0006705, HP:0010438, HP:0011994",11,,
670,MASP1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,0.002216796,
671,MAT2A,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
672,MC2R,HP:0001627,1,,
673,MCIDAS,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
674,MCM10,"HP:0001627, HP:0001706, HP:0005120, HP:0025580",4,,
675,MCTP2,"HP:0001627, HP:0001646, HP:0001647, HP:0001651, HP:0001654, HP:0001671, HP:0001710, HP:0001719, HP:0001961, HP:0004383, HP:0006705, HP:0011545, HP:0011546, HP:0011560, HP:0011563, HP:0011651, HP:0011723, HP:0045017",18,,
676,MED12,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001655, HP:0001671, HP:0001713, HP:0001770, HP:0005120, HP:0006705, HP:0010438, HP:0011994",12,0.022654218,
677,MED13L,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001669, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,0.022733357
678,MED25,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
679,MEFV,HP:0001627,1,,
680,MEG3,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
681,MEGF8,"HP:0001627, HP:0001631, HP:0001651, HP:0001669, HP:0001671, HP:0001696, HP:0005120, HP:0011534, HP:0011545, HP:0011563, HP:0011994",11,,
682,MEIS2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
683,MEN1,"HP:0001627, HP:0001711, HP:0001713",3,0.008726006,
684,MEOX1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.000646971,
685,METTL27,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001789, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
686,METTL5,"HP:0001627, HP:0001631, HP:0001671, HP:0001684, HP:0005120, HP:0011994",6,0.026332142,
687,MFAP5,"HP:0001627, HP:0001646, HP:0001647, HP:0001654, HP:0001780, HP:0006705",6,0.045596634,
688,MGAT2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.00073293,
689,MGME1,HP:0001627,1,,
690,MGP,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.000232597,
691,MIB1,"HP:0001627, HP:0030681, HP:0031192",3,,
692,MICOS13,HP:0001627,1,,
693,MICU1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,0.004236393
694,MID1,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,,
695,MIF,HP:0001627,1,0.042420467,
696,MIPEP,"HP:0001627, HP:0030681, HP:0031192",3,,
697,MIR17HG,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
698,MKKS,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0001961, HP:0004383, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994, HP:0045017",15,0.003180234,
699,MKS1,"HP:0001627, HP:0001651, HP:0001671, HP:0001696, HP:0011534",5,,
700,MLH1,"HP:0001627, HP:0001713, HP:0100571",3,,
701,MLH3,"HP:0001627, HP:0001713, HP:0100571",3,,
702,MLX,"HP:0001627, HP:0001646, HP:0001654",3,0.002913179,
703,MLXIPL,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001639, HP:0001644, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",18,,0.010700097
704,MLYCD,HP:0001627,1,,
705,MMACHC,HP:0001627,1,0.023659457,
706,MMP1,HP:0001627,1,,
707,MMP14,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001719, HP:0001777, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011723, HP:0011994",18,,
708,MMP2,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001679, HP:0001710, HP:0001713, HP:0001719, HP:0001754, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011723, HP:0011994",19,0.002539832,
709,MMP21,"HP:0001627, HP:0001631, HP:0001646, HP:0001651, HP:0001654, HP:0001669, HP:0001671, HP:0001696, HP:0001702, HP:0001707, HP:0001713, HP:0001762, HP:0004762, HP:0005120, HP:0006695, HP:0006705, HP:0011534, HP:0011545, HP:0011546, HP:0011560, HP:0011563, HP:0011565, HP:0011994",23,,
710,MMP23B,"HP:0001627, HP:0001636, HP:0001654, HP:0001671, HP:0001710, HP:0011545, HP:0011563",7,0.046578628,
711,MMUT,HP:0001627,1,,
712,MNS1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
713,MOGS,"HP:0001627, HP:0001631, HP:0001671, HP:0001711, HP:0001713, HP:0005120, HP:0011994",7,0.006119901,
714,MPL,"HP:0001627, HP:0001671",2,,
715,MPLKIP,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.040052448,
716,MRAP,HP:0001627,1,,
717,MRAS,"HP:0001627, HP:0001631, HP:0001641, HP:0001654, HP:0001671, HP:0005120, HP:0011994",7,0.021654449,
718,MRPL3,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
719,MRPL44,HP:0001627,1,0.023781774,
720,MRPS14,HP:0001627,1,0.000125228,
721,MRPS22,HP:0001627,1,0.000190419,
722,MSH2,"HP:0001627, HP:0001713, HP:0100571",3,,
723,MSH6,"HP:0001627, HP:0001713, HP:0100571",3,,
724,MSX1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
725,MTFMT,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
726,MTO1,HP:0001627,1,,
727,MTTP,HP:0001627,1,,0.000244837
728,MTX2,"HP:0001627, HP:0001631, HP:0001654, HP:0001655, HP:0001671, HP:0001711, HP:0001713, HP:0001728, HP:0005120, HP:0006705, HP:0011994",11,,
729,MYBPC3,"HP:0001627, HP:0001671, HP:0001713, HP:0010438, HP:0030681, HP:0031192",6,6.32189E-08,
730,MYCN,"HP:0001627, HP:0001629, HP:0001654, HP:0001671, HP:0001702, HP:0001713, HP:0006705, HP:0010438, HP:0011623, HP:0011625, HP:0011673",11,0.04178835,
731,MYH11,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,0.000524986,
732,MYH3,"HP:0001627, HP:0001646, HP:0001654",3,,
733,MYH6,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001684, HP:0001707, HP:0001711, HP:0001713, HP:0001715, HP:0005120, HP:0006705, HP:0011103, HP:0011994, HP:0025580",14,7.08404E-09,
734,MYH7,"HP:0001627, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001702, HP:0001707, HP:0001711, HP:0001713, HP:0001785, HP:0005120, HP:0006705, HP:0010316, HP:0011103, HP:0011574, HP:0011575, HP:0011994, HP:0030681, HP:0031192",20,7.03351E-10,
735,MYH8,HP:0001627,1,,0.004194047
736,MYL2,"HP:0001627, HP:0001671, HP:0001707, HP:0001711, HP:0001713, HP:0005120, HP:0010438, HP:0025579, HP:0025580",9,2.7951E-09,
737,MYL3,"HP:0001627, HP:0001711, HP:0001713, HP:0005120, HP:0006685, HP:0025579",6,2.07728E-09,
738,MYLK,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
739,MYLK2,"HP:0001627, HP:0001711, HP:0001713, HP:0011103",4,,
740,MYMK,"HP:0001627, HP:0001671",2,,
741,MYO18B,HP:0001627,1,0.00307181,
742,MYOCD,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",11,0.00050114,
743,MYOT,HP:0001627,1,,
744,MYOZ2,"HP:0001627, HP:0001711, HP:0001713",3,4.71975E-09,
745,MYPN,"HP:0001627, HP:0001654, HP:0001671, HP:0001673, HP:0001711, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0025579, HP:0025580",11,,
746,MYRF,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001651, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0001961, HP:0004383, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994, HP:0030732, HP:0045017",20,,
747,MYSM1,HP:0001627,1,,
748,NAA10,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",11,0.000621436,
749,NADSYN1,"HP:0001627, HP:0001646, HP:0001647, HP:0001654, HP:0001710, HP:0001719, HP:0001961, HP:0004383, HP:0011545, HP:0011563, HP:0011723, HP:0045017",12,,
