gene_short_name,Heart_assoc_HPOs,Heart_HP_Count,pvalue_Heart_more,pvalue_Heart_less
GYG1,"HP:0001627, HP:0001671, HP:0001713, HP:0010438",4,0.000119338,
GYS1,"HP:0001627, HP:0001711, HP:0001713, HP:0005120, HP:0025579",5,,
H19-ICR,HP:0001627,1,,
HAAO,"HP:0001627, HP:0001631, HP:0001671, HP:0001961, HP:0004383, HP:0005120, HP:0011994, HP:0045017",8,,
HACD1,"HP:0001627, HP:0001707, HP:0001713",3,,
HADH,HP:0001627,1,0.011493605,
HADHA,"HP:0001627, HP:0001711, HP:0001713",3,0.000226888,
HADHB,"HP:0001627, HP:0001711, HP:0001713",3,,
HAMP,HP:0001627,1,,
HAND2,HP:0001627,1,9.87173E-05,
HBA1,HP:0001627,1,4.44453E-07,
HBA2,HP:0001627,1,2.92669E-08,
HBB,HP:0001627,1,3.41716E-10,
HCCS,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001702, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011994",11,0.000125275,
HCN4,"HP:0001627, HP:0001654, HP:0001682, HP:0001711, HP:0001713, HP:0006705, HP:0030681, HP:0031192",8,0.042084958,
HDAC4,"HP:0001627, HP:0001711, HP:0001713, HP:0011103",4,,0.012136602
HDAC8,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
HES7,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
HEXB,HP:0001627,1,,
HEY2,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,0.002229063,
HFE,HP:0001627,1,,
HGD,"HP:0001627, HP:0001646, HP:0001654, HP:0001667, HP:0001703, HP:0006705",6,,
HGSNAT,HP:0001627,1,,
HIBCH,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
HIRA,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011672, HP:0011994",18,,
HJV,HP:0001627,1,,
HLA-B,"HP:0001627, HP:0001646, HP:0001654, HP:0001710, HP:0001719, HP:0011545, HP:0011563, HP:0011658, HP:0011723",9,0.016826981,
HLA-DPA1,HP:0001627,1,0.047458771,
HLA-DPB1,HP:0001627,1,,
HLA-DRB1,"HP:0001627, HP:0001710, HP:0001719, HP:0011545, HP:0011563, HP:0011658, HP:0011723",7,,
HMGCL,HP:0001627,1,,
HNRNPA1,HP:0001627,1,3.95158E-05,
HNRNPA2B1,HP:0001627,1,2.61545E-05,
HNRNPH2,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001729, HP:0005120, HP:0006705, HP:0011994",8,2.79049E-05,
HNRNPK,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",11,7.42135E-07,
HNRNPU,"HP:0001627, HP:0001671",2,0.002036854,
HOXA13,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
HOXD13,"HP:0001627, HP:0001671",2,,
HPS1,HP:0001627,1,,
HRAS,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0001741, HP:0001749, HP:0005120, HP:0006705, HP:0010438, HP:0011994",12,0.025586968,
HSD11B2,"HP:0001627, HP:0001711, HP:0001713",3,,
HSD17B10,HP:0001627,1,0.00025172,
HSPA9,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
HSPG2,"HP:0001627, HP:0001636, HP:0001654, HP:0001671, HP:0001710, HP:0011545, HP:0011563",7,0.01271146,
HYDIN,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
HYLS1,"HP:0001627, HP:0001629, HP:0001651, HP:0001671, HP:0001674, HP:0001696, HP:0001713, HP:0006695, HP:0010438, HP:0011534",10,,
HYMAI,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
IDH1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001684, HP:0001713, HP:0005120, HP:0010438, HP:0011681, HP:0011994",10,,
IDH2,HP:0001627,1,0.007845464,
IDS,"HP:0001627, HP:0001637, HP:0001641, HP:0001654, HP:0001675, HP:0001702, HP:0006705",7,,
IDUA,"HP:0001627, HP:0001654, HP:0001706",3,,
IFIH1,"HP:0001627, HP:0001646, HP:0001654, HP:0001711, HP:0001713, HP:0001778, HP:0006705, HP:0011103",8,,
IFNG,HP:0001627,1,,
IFNGR1,HP:0001627,1,,
IFT122,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
IFT172,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,0.032182814
IFT81,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
IGBP1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
IGF1R,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,,
IGF2,HP:0001627,1,,
IKZF1,HP:0001627,1,,
IL10,HP:0001627,1,,
IL12A,HP:0001627,1,,
IL12A-AS1,HP:0001627,1,,
IL12B,"HP:0001627, HP:0001646, HP:0001654",3,,
IL17F,HP:0001627,1,,
IL17RA,HP:0001627,1,,
IL17RC,HP:0001627,1,,
IL23R,HP:0001627,1,,
IL6,HP:0001627,1,,
INPP5E,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,0.001966876,
INS,HP:0001627,1,,0.005422129
INSR,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,0.002811465
INTS1,HP:0001627,1,,
INTU,"HP:0001627, HP:0001636, HP:0001671, HP:0001674, HP:0001710, HP:0006695, HP:0011545, HP:0011563",8,,0.024160027
INVS,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,0.001843087
IPO8,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001655, HP:0001671, HP:0001707, HP:0001710, HP:0001713, HP:0001719, HP:0001759, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011642, HP:0011723, HP:0011994, HP:0031298",20,,
IRAK1,HP:0001627,1,0.035157971,
IRF4,HP:0001627,1,,
IRF6,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
IRX5,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,0.009067069,
ITGA7,"HP:0001627, HP:0001707, HP:0001713",3,0.002404337,
ITK,HP:0001627,1,,
ITPA,HP:0001627,1,,
JAG1,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,
JAG2,HP:0001627,1,,
JMJD1C,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011674, HP:0011994",18,,0.003214113
JPH2,"HP:0001627, HP:0001654, HP:0001702, HP:0001711, HP:0001713, HP:0006705, HP:0010316",7,0.00147345,
JUP,"HP:0001627, HP:0030681, HP:0031193",3,,
KANSL1,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",11,,0.016654388
KAT5,"HP:0001627, HP:0001629, HP:0001641, HP:0001654, HP:0001671, HP:0001713, HP:0005164, HP:0010438",8,,
KAT6A,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
KAT6B,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",9,,
KAT8,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
KATNB1,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
KATNIP,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
KBTBD13,HP:0001627,1,0.002217946,
KCNA1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
KCNAB2,"HP:0001627, HP:0001636, HP:0001654, HP:0001671, HP:0001710, HP:0011545, HP:0011563",7,,
KCNE5,"HP:0001627, HP:0001646, HP:0001654",3,,
KCNH1,HP:0001627,1,,
KCNJ11,HP:0001627,1,,
KCNJ2,HP:0001627,1,0.013839156,
KCNJ5,"HP:0001627, HP:0001711, HP:0001713",3,,
KCNJ8,"HP:0001627, HP:0001654",2,0.003349453,
KCNQ1,HP:0001627,1,,
KCNQ1OT1,HP:0001627,1,,
KDM1A,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
KDM3B,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,0.021847967
KDM5B,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
KDM6A,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",9,,0.003135083
KDR,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
KIAA0586,"HP:0001627, HP:0001631, HP:0001651, HP:0001671, HP:0001696, HP:0005120, HP:0011534, HP:0011994",8,,
KIAA0753,HP:0001627,1,,
KIAA1109,HP:0001627,1,,
KIF11,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
KIF15,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
KIF20A,"HP:0001627, HP:0005120, HP:0025579, HP:0025580",4,0.001157155,
KIF3B,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
KIF7,"HP:0001627, HP:0001641, HP:0001654, HP:0001671, HP:0005148",5,,
KLF1,HP:0001627,1,,
KLHL41,HP:0001627,1,,
KLRC4,HP:0001627,1,,
KMT2C,HP:0001627,1,,0.001138532
KMT2D,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
KRAS,"HP:0001627, HP:0001629, HP:0001631, HP:0001641, HP:0001643, HP:0001654, HP:0001655, HP:0001671, HP:0001702, HP:0001713, HP:0001717, HP:0005120, HP:0006705, HP:0010438, HP:0011994, HP:0100571",16,,
KYNU,"HP:0001627, HP:0001961, HP:0004383, HP:0045017",4,,
LACC1,HP:0001627,1,,
LAMA2,HP:0001627,1,0.000925646,
LAMA3,HP:0001627,1,,
LAMA4,HP:0001627,1,0.004483249,
LAMB2,"HP:0001627, HP:0001707, HP:0001713",3,0.007455832,
LAMB3,HP:0001627,1,,
LAMC2,HP:0001627,1,,
LAMP2,HP:0001627,1,,
LARP7,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,0.041336999,
LARS2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
LBR,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
LDB3,"HP:0001627, HP:0001711, HP:0001713, HP:0006685, HP:0030681, HP:0031192",6,2.42951E-07,
LDLR,"HP:0001627, HP:0001713",2,,5.03578E-05
LDLRAP1,"HP:0001627, HP:0001713",2,0.002213084,
LEMD2,"HP:0001627, HP:0001671, HP:0001713, HP:0010438",4,,
LEMD3,HP:0001627,1,,
LETM1,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,0.030396756,
LIAS,HP:0001627,1,,
LIMK1,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001664, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
LIMS2,HP:0001627,1,0.000334201,
LIPT1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
LMBR1,HP:0001627,1,,
LMBRD1,HP:0001627,1,,
LMNA,"HP:0001627, HP:0001631, HP:0001646, HP:0001651, HP:0001654, HP:0001669, HP:0001671, HP:0001693, HP:0001711, HP:0001713, HP:0001744, HP:0005120, HP:0006705, HP:0011545, HP:0011563, HP:0011994",16,,
LMNB1,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
LMOD1,HP:0001627,1,,
LONP1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",9,,
LOX,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,0.002335826,
LRP12,HP:0001627,1,,
LRP2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
LRP5,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
LRPPRC,HP:0001627,1,,
LRRC56,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
LTBP1,"HP:0001627, HP:0001713",2,0.03288144,
LTBP2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.032157303,
LTBP3,"HP:0001627, HP:0001654, HP:0001800, HP:0006705",4,,
LTBP4,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,0.017285093,
LUZP1,"HP:0001627, HP:0001636, HP:0001654, HP:0001671, HP:0001710, HP:0011545, HP:0011563",7,,
LYST,HP:0001627,1,,
LZTFL1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
LZTR1,"HP:0001627, HP:0001629, HP:0001631, HP:0001641, HP:0001654, HP:0001671, HP:0001694, HP:0001711, HP:0001713, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0011994",14,0.031474505,
MAD2L2,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,0.01881396,
MAF,HP:0001627,1,,
MAGEL2,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
MAP1B,"HP:0001627, HP:0001654",2,0.013788767,
MAP2K1,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,,
MAP2K2,"HP:0001627, HP:0001631, HP:0001646, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,0.007931635,
MAP3K20,"HP:0001627, HP:0001707, HP:0001713",3,,
MAP3K7,"HP:0001627, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001671, HP:0001792, HP:0005120, HP:0006705, HP:0011994",11,,0.01321273
MAPK1,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0001793, HP:0005120, HP:0006705, HP:0010438, HP:0011994",11,,
MASP1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,0.002216796,
MAT2A,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
MC2R,HP:0001627,1,,
MCIDAS,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
MCM10,"HP:0001627, HP:0001706, HP:0005120, HP:0025580",4,,
MCTP2,"HP:0001627, HP:0001646, HP:0001647, HP:0001651, HP:0001654, HP:0001671, HP:0001710, HP:0001719, HP:0001961, HP:0004383, HP:0006705, HP:0011545, HP:0011546, HP:0011560, HP:0011563, HP:0011651, HP:0011723, HP:0045017",18,,
MED12,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001655, HP:0001671, HP:0001713, HP:0001770, HP:0005120, HP:0006705, HP:0010438, HP:0011994",12,0.022654218,
MED13L,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001669, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,0.022733357
MED25,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
MEFV,HP:0001627,1,,
MEG3,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
MEGF8,"HP:0001627, HP:0001631, HP:0001651, HP:0001669, HP:0001671, HP:0001696, HP:0005120, HP:0011534, HP:0011545, HP:0011563, HP:0011994",11,,
MEIS2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
MEN1,"HP:0001627, HP:0001711, HP:0001713",3,0.008726006,
MEOX1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.000646971,
METTL27,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001789, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
METTL5,"HP:0001627, HP:0001631, HP:0001671, HP:0001684, HP:0005120, HP:0011994",6,0.026332142,
MFAP5,"HP:0001627, HP:0001646, HP:0001647, HP:0001654, HP:0001780, HP:0006705",6,0.045596634,
MGAT2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.00073293,
MGME1,HP:0001627,1,,
MGP,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.000232597,
MIB1,"HP:0001627, HP:0030681, HP:0031192",3,,
MICOS13,HP:0001627,1,,
MICU1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,0.004236393
MID1,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,,
MIF,HP:0001627,1,0.042420467,
MIPEP,"HP:0001627, HP:0030681, HP:0031192",3,,
MIR17HG,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
MKKS,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0001961, HP:0004383, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994, HP:0045017",15,0.003180234,
MKS1,"HP:0001627, HP:0001651, HP:0001671, HP:0001696, HP:0011534",5,,
MLH1,"HP:0001627, HP:0001713, HP:0100571",3,,
MLH3,"HP:0001627, HP:0001713, HP:0100571",3,,
MLX,"HP:0001627, HP:0001646, HP:0001654",3,0.002913179,
MLXIPL,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001639, HP:0001644, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",18,,0.010700097
MLYCD,HP:0001627,1,,
MMACHC,HP:0001627,1,0.023659457,
MMP1,HP:0001627,1,,
MMP14,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001719, HP:0001777, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011723, HP:0011994",18,,
MMP2,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001679, HP:0001710, HP:0001713, HP:0001719, HP:0001754, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011723, HP:0011994",19,0.002539832,
MMP21,"HP:0001627, HP:0001631, HP:0001646, HP:0001651, HP:0001654, HP:0001669, HP:0001671, HP:0001696, HP:0001702, HP:0001707, HP:0001713, HP:0001762, HP:0004762, HP:0005120, HP:0006695, HP:0006705, HP:0011534, HP:0011545, HP:0011546, HP:0011560, HP:0011563, HP:0011565, HP:0011994",23,,
MMP23B,"HP:0001627, HP:0001636, HP:0001654, HP:0001671, HP:0001710, HP:0011545, HP:0011563",7,0.046578628,
MMUT,HP:0001627,1,,
MNS1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
MOGS,"HP:0001627, HP:0001631, HP:0001671, HP:0001711, HP:0001713, HP:0005120, HP:0011994",7,0.006119901,
MPL,"HP:0001627, HP:0001671",2,,
MPLKIP,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.040052448,
MRAP,HP:0001627,1,,
MRAS,"HP:0001627, HP:0001631, HP:0001641, HP:0001654, HP:0001671, HP:0005120, HP:0011994",7,0.021654449,
MRPL3,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
MRPL44,HP:0001627,1,0.023781774,
MRPS14,HP:0001627,1,0.000125228,
MRPS22,HP:0001627,1,0.000190419,
MSH2,"HP:0001627, HP:0001713, HP:0100571",3,,
MSH6,"HP:0001627, HP:0001713, HP:0100571",3,,
MSX1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
MTFMT,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
MTO1,HP:0001627,1,,
MTTP,HP:0001627,1,,0.000244837
MTX2,"HP:0001627, HP:0001631, HP:0001654, HP:0001655, HP:0001671, HP:0001711, HP:0001713, HP:0001728, HP:0005120, HP:0006705, HP:0011994",11,,
MYBPC3,"HP:0001627, HP:0001671, HP:0001713, HP:0010438, HP:0030681, HP:0031192",6,6.32189E-08,
MYCN,"HP:0001627, HP:0001629, HP:0001654, HP:0001671, HP:0001702, HP:0001713, HP:0006705, HP:0010438, HP:0011623, HP:0011625, HP:0011673",11,0.04178835,
MYH11,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,0.000524986,
MYH3,"HP:0001627, HP:0001646, HP:0001654",3,,
MYH6,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001684, HP:0001707, HP:0001711, HP:0001713, HP:0001715, HP:0005120, HP:0006705, HP:0011103, HP:0011994, HP:0025580",14,7.08404E-09,
MYH7,"HP:0001627, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001702, HP:0001707, HP:0001711, HP:0001713, HP:0001785, HP:0005120, HP:0006705, HP:0010316, HP:0011103, HP:0011574, HP:0011575, HP:0011994, HP:0030681, HP:0031192",20,7.03351E-10,
MYH8,HP:0001627,1,,0.004194047
MYL2,"HP:0001627, HP:0001671, HP:0001707, HP:0001711, HP:0001713, HP:0005120, HP:0010438, HP:0025579, HP:0025580",9,2.7951E-09,
MYL3,"HP:0001627, HP:0001711, HP:0001713, HP:0005120, HP:0006685, HP:0025579",6,2.07728E-09,
MYLK,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
MYLK2,"HP:0001627, HP:0001711, HP:0001713, HP:0011103",4,,
MYMK,"HP:0001627, HP:0001671",2,,
MYO18B,HP:0001627,1,0.00307181,
MYOCD,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",11,0.00050114,
MYOT,HP:0001627,1,,
MYOZ2,"HP:0001627, HP:0001711, HP:0001713",3,4.71975E-09,
MYPN,"HP:0001627, HP:0001654, HP:0001671, HP:0001673, HP:0001711, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0025579, HP:0025580",11,,
MYRF,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001651, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0001961, HP:0004383, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994, HP:0030732, HP:0045017",20,,
MYSM1,HP:0001627,1,,
NAA10,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",11,0.000621436,
NADSYN1,"HP:0001627, HP:0001646, HP:0001647, HP:0001654, HP:0001710, HP:0001719, HP:0001961, HP:0004383, HP:0011545, HP:0011563, HP:0011723, HP:0045017",12,,
NAGA,HP:0001627,1,,
NAGLU,HP:0001627,1,,
NAXD,HP:0001627,1,,
NBAS,HP:0001627,1,,
NCAPG2,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
NCF1,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001658, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
ND1,"HP:0001627, HP:0001711, HP:0001713",3,,
ND2,HP:0001627,1,,
ND3,HP:0001627,1,,
ND4,HP:0001627,1,,
ND5,"HP:0001627, HP:0001711, HP:0001713",3,,
ND6,"HP:0001627, HP:0001711, HP:0001713",3,,
NDE1,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0011994",7,,
NDUFA1,HP:0001627,1,0.003509472,
NDUFA10,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.010266279,
NDUFA11,HP:0001627,1,0.00427305,
NDUFA12,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.000328085,
NDUFA13,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,1.09067E-05,
NDUFA2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.000958199,
NDUFA4,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,1.35604E-06,
NDUFA6,HP:0001627,1,0.000165368,
NDUFA9,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.011829665,
NDUFAF1,HP:0001627,1,0.008701904,
NDUFAF2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
NDUFAF3,HP:0001627,1,2.59319E-07,
NDUFAF4,HP:0001627,1,0.001413536,
NDUFAF5,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
NDUFAF6,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
NDUFAF8,HP:0001627,1,,
NDUFB10,HP:0001627,1,0.000194226,
NDUFB11,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001702, HP:0001713, HP:0001788, HP:0005120, HP:0006705, HP:0010438, HP:0011994",12,0.000130279,
NDUFB3,HP:0001627,1,0.004459393,
NDUFB8,HP:0001627,1,,
NDUFB9,HP:0001627,1,0.000562447,
NDUFC2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438, HP:0011682",6,0.00015274,
NDUFS1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.00369875,
NDUFS2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.00355332,
NDUFS3,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.000566836,
NDUFS4,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.003352854,
