Gene Symbol,Residual.Variation.Intolerance.Score,Residual.Variation.Intolerance.Score.Percentile
C14orf178,0.479642105058553,78.9514036329323
C14orf182,0.501689326076967,79.7888652984194
C14orf183,0.284856335676923,71.4083510261854
C14orf2,0.301449680536392,71.8093890068412
C14orf28,0.549415813338373,81.3812219863175
C14orf37,0.428052693467442,77.3118660061335
C14orf38,2.12770314723102,97.9122434536447
C14orf39,1.17765873567721,92.7754187308328
C14orf43,-0.0790129056180183,47.2576079263977
C14orf45,1.41838457930529,94.8926633640009
C14orf79,-0.156065313821044,42.1620665251238
C14orf80,0.933309255600479,89.82661004954
C14orf93,-0.536310939527276,20.5355036565228
C15orf23,1.30631879528127,93.9962255248879
C15orf26,-0.648365104687624,16.3599905638122
C15orf27,0.200309649789746,67.3566878980892
C15orf29,0.125076651719356,62.7388535031847
C15orf32,0.459411326240879,78.2849728709601
C15orf38,-0.560178693155224,19.308799245105
C15orf38-AP3S2,-0.86701435269756,10.7277659825431
C15orf39,0.723780906257862,85.8752064166077
C15orf40,1.0380983151707,91.206652512385
C15orf41,-0.00538197214482933,53.5090823307384
C15orf43,0.769889969162245,86.9544703939608
C15orf44,-0.471992904646155,23.036093418259
C15orf48,0.0791650514527536,59.4302901627742
C15orf52,-0.242430444964251,36.2290634583628
C15orf53,0.23712719204854,68.9844302901628
C15orf54,0.749657563952377,86.5652276480302
C15orf55,1.43114908875586,95.0224109459778
C15orf57,0.0368911799368499,56.6407171502713
C15orf59,0.238945317445982,69.208539749941
C15orf60,-0.00538197214482933,53.5090823307384
C15orf62,0.501689326076967,79.7888652984194
C15orf63,0.371224249137463,75.1238499646143
C16orf13,0.0607565283182389,58.5279547062987
C16orf3,0.325313576744552,73.1127624439726
C16orf45,-0.00538197214482933,53.5090823307384
C16orf46,1.0215006560133,91.0179287567823
C16orf48,0.729426781253379,86.170087284737
C16orf5,-0.22948377130373,36.8601085161595
C16orf55,0.483275131218283,79.2521821184242
C16orf57,0.194852701846611,67.032318943147
C16orf58,0.0203027730121405,55.6086341118188
C16orf59,0.464864541056522,78.6919084689785
C16orf62,-1.21252986808075,5.69120075489502
C16orf7,-0.178111357009241,40.4458598726115
C16orf70,0.0387103394845901,56.9238027836754
C16orf71,1.40544167826665,94.7747110167492
C16orf72,0.23712719204854,68.9844302901628
C16orf73,0.995816766744117,90.622788393489
C16orf74,0.0368911799368499,56.6407171502713
C16orf78,1.10787579439403,92.0382165605096
C16orf79,0.933309255600479,89.82661004954
C16orf80,0.0130256087334302,54.6296296296296
C16orf86,-0.317668748016334,31.4578910120311
C16orf87,0.035072053907763,56.2514744043406
C16orf88,0.0441681026708396,57.4074074074074
C16orf89,0.801024817255087,87.6562868601085
C16orf90,0.0607565283182389,58.5279547062987
C16orf91,0.865347170036075,88.8004246284501
C16orf92,0.23712719204854,68.9844302901628
C16orf93,-0.115612493481457,45.1285680585044
C16orf96,3.55787848704001,99.4987025241802
C17orf101,0.823072022283754,88.0396319886766
C17orf102,1.05833371085987,91.4248643548007
C17orf104,0.643056625449087,84.0528426515688
C17orf105,0.0571185339035323,57.997169143666
C17orf107,0.611926690289502,82.997169143666
C17orf108,0.0571185339035323,57.997169143666
C17orf109,0.123258210139749,62.3849964614296
C17orf110,0.123258210139749,62.3849964614296
C17orf28,-1.17205516444943,6.0273649445624
C17orf47,7.61e-05,53.9808917197452
C17orf49,-0.119252484052258,44.5388063222458
C17orf51,0.0791650514527536,59.4302901627742
C17orf53,0.202129236731064,67.4274593064402
C17orf58,0.657836545754767,84.2710544939844
C17orf61,0.479642105058553,78.9514036329323
C17orf62,-0.0935664077426586,46.7386175984902
C17orf64,0.371224249137463,75.1238499646143
C17orf66,0.979225112235543,90.4281670205237
C17orf67,0.613741468341561,83.067940552017
C17orf70,0.36373543366075,74.7110167492333
C17orf72,0.257356108034012,69.8336871903751
C17orf74,0.668743049009556,84.6838877093654
C17orf77,1.19607138145197,92.9228591648974
C17orf78,0.349177631575732,74.1802311866006
C17orf79,0.103030230903726,61.2762443972635
C17orf80,0.64851763726869,84.1472045293701
C17orf81,-0.0476546889667927,50.2241094597783
C17orf85,0.328949043699385,73.4135409294645
C17orf97,1.15197334023438,92.5218211842416
C17orf98,0.12689525967705,63.0042462845011
C17orf99,0.992186920143104,90.5166312809625
C18orf1,-0.115612493481457,45.1285680585044
C18orf21,0.369407108798126,74.9528190610993
C18orf25,0.238945317445982,69.208539749941
C18orf26,0.681699245614544,84.931587638594
C18orf32,0.147123112334949,64.1129983486671
C18orf34,1.44954068305092,95.1462609105921
C18orf42,0.123258210139749,62.3849964614296
C18orf54,-0.0678812493446645,48.690728945506
C18orf62,0.169169615482522,65.3338051427223
C18orf8,-0.134019284192217,43.9077612644492
C19orf10,-0.141298761971039,42.8756782259967
C19orf12,0.2591737101265,70.0577966501533
C19orf18,0.349177631575732,74.1802311866006
C19orf21,-0.0312816815817101,50.5779665015334
C19orf26,0.688969635676595,85.2087756546355
C19orf33,-0.0310671880788603,51.0379806558151
C19orf38,0.591694063015805,82.4545883463081
C19orf40,0.994001091699236,90.5579146025006
C19orf42,0.0130256087334302,54.6296296296296
C19orf44,-0.997481927891132,8.47487615003539
C19orf45,0.819433854466715,87.9865534324133
C19orf48,0.970138238682686,90.2335456475584
C19orf53,0.103030230903726,61.2762443972635
C19orf54,-0.470171690146702,23.2543052606747
C19orf57,2.05041536130439,97.7707006369427
C19orf59,1.08219602696711,91.7964142486435
C19orf66,-0.295622497334953,32.6197216324605
C19orf70,-0.0531135451807282,49.3866477942911
C19orf71,0.926041232529226,89.655579146025
C19orf73,0.657836545754767,84.2710544939844
C19orf76,0.301449680536392,71.8093890068412
C19orf77,0.834220813043712,88.1575843359283
C19orf80,0.659651797200672,84.3536211370606
C1D,0.147123112334949,64.1129983486671
C1GALT1,0.0828027428069584,60.0908233073838
C1GALT1C1,0.525552347770549,80.5791460250059
C1orf100,0.0148448910014312,54.9481009672092
C1orf101,0.848762413104592,88.4819532908705
C1orf105,0.725794415944476,85.9813635291342
C1orf109,-0.0292476111805028,51.4036329322954
C1orf110,0.529186139627863,80.8150507195093
C1orf111,0.418953042462951,77.0641660769049
C1orf112,-0.196519234283256,39.2073602264685
C1orf114,0.308721233270463,72.5996697334277
C1orf116,2.80400676929478,99.0504836046237
C1orf123,0.215080721481145,67.9169615475348
C1orf127,0.986521625839463,90.481245576787
C1orf129,2.51357998539639,98.6730360934182
C1orf130,0.369407108798126,74.9528190610993
C1orf131,0.705562626500223,85.5272469922151
C1orf135,0.284856335676923,71.4083510261854
C1orf141,0.88376002594683,89.071715027129
C1orf146,0.103030230903726,61.2762443972635
C1orf150,0.325313576744552,73.1127624439726
C1orf158,1.21630553079647,93.1351733899505
C1orf159,-0.227663163036465,37.1137060627507
C1orf162,0.0368911799368499,56.6407171502713
C1orf168,0.82489299606871,88.0691200754895
C1orf172,-0.0660618817075632,48.7791932059448
C1orf173,2.0431171228468,97.7530077848549
C1orf174,1.06377872206442,91.5841000235905
